City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
680,porto seguro,BR,72.12,overcast clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
681,tura,IN,75.63,moderate rain,25.5198,90.2201,Hotel RIKMAN Continental
682,fossombrone,IT,67.69,few clouds,43.6908,12.8127,B&B Camera con vista
685,gat,IL,65.39,scattered clouds,31.61,34.7642,OlusHome
686,yemelyanovo,RU,65.21,clear sky,56.1681,92.6767,Zaimka Emelyanovskaya Gorka
688,san felipe,VE,72.99,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
690,portland,US,69.78,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
695,rio chiquito,HN,80.96,clear sky,15.6333,-88.25,"Iglesia de Dios "" Oasis de Bendicion"""
696,blytheville,US,71.53,clear sky,35.9273,-89.919,Days Inn by Wyndham Blytheville
698,dwarka,IN,82.62,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
702,sao jose do egito,BR,69.33,overcast clouds,-7.4789,-37.2744,Fênix Hotel e Restaurante Sabor do Pajeú
703,tautira,PF,81.25,light rain,-17.7333,-149.15,Pension Oaoa
